,ppreg4,ppmarit5,ppeducat,D1G,SL1,ppemploy,ED5,SL7,B10,ppagecat,ppgender,ppethm
70,Midwest,Now married,High school graduate,No,No,Working full-time,About the same,No,5,55-64,Male,White
71,Northeast,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,45-54,Female,White
72,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,6,75+,Female,White
73,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,9,55-64,Male,White
74,West,Never married,Bachelor's degree or higher,No,Yes,Working part-time,No response,No response,7,25-34,Female,Hispanic
75,West,Divorced,College's degree,No,No,Working full-time,No response,No,2,45-54,Female,White
76,West,Now married,College's degree,No,No,Not working,Financial costs are much larger,Yes,3,75+,Female,White
77,South,Widowed,Bachelor's degree or higher,No,No,Working part-time,No response,No,10 - Completely satisfied,75+,Female,White
78,South,Widowed,High school graduate,No,No,Not working,No response,No,0 - Not at all satisfied,75+,Male,White
79,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Male,White
80,West,Now married,College's degree,No,No,Working full-time,No response,No,7,45-54,Male,Other
81,South,Now married,High school graduate,No,No,Working full-time,No response,No,10 - Completely satisfied,45-54,Male,White
82,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Female,White
83,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Male,White
84,West,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,1,75+,Female,White
85,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,6,55-64,Female,White
86,West,Divorced,No high school diploma,No,No,Not working,No response,No,3,75+,Female,White
87,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,10 - Completely satisfied,65-74,Female,White
88,West,Divorced,Bachelor's degree or higher,No,No,Working part-time,No response,No,7,45-54,Female,White
89,West,Now married,College's degree,No,No,Working full-time,Financial benefits are somewhat larger,No,10 - Completely satisfied,65-74,Female,White
90,West,Now married,College's degree,No,No,Not working,Financial benefits are somewhat larger,No,6,65-74,Female,White
91,South,Widowed,College's degree,No,No,Not working,About the same,No,6,75+,Female,White
92,West,Divorced,Bachelor's degree or higher,No,No,Working part-time,No response,No,6,65-74,Female,Other
93,South,Now married,High school graduate,No,No,Not working,No response,No,7,55-64,Female,White
94,South,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Female,Black
95,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Male,White
96,Northeast,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,10 - Completely satisfied,45-54,Male,White
97,South,Never married,High school graduate,No,No,Not working,No response,No,7,35-44,Male,White
98,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Female,White
99,South,Widowed,College's degree,No,No,Not working,About the same,No,5,75+,Female,White
100,Northeast,Now married,College's degree,No,No,Not working,About the same,No,6,65-74,Female,White
101,West,Separated,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,8,75+,Female,White
102,South,Now married,College's degree,No,No,Working part-time,Financial costs are much larger,No,4,55-64,Male,White
103,West,Now married,College's degree,No,Yes,Working part-time,No response,No response,2,55-64,Female,White
104,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,10 - Completely satisfied,75+,Female,White
105,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,45-54,Female,White
106,South,Now married,High school graduate,No,No,Not working,No response,No,5,65-74,Female,White
107,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,65-74,Male,White
108,Northeast,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Male,White
109,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Female,White
110,South,Now married,College's degree,No,No,Not working,Financial costs are much larger,Yes,0 - Not at all satisfied,55-64,Female,White
111,Northeast,Now married,High school graduate,No,No,Not working,Financial benefits are much larger,No,9,75+,Female,White
112,Northeast,Divorced,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Male,White
113,Northeast,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,5,65-74,Female,White
114,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,3,35-44,Female,White
115,South,Now married,College's degree,No,No,Working part-time,Financial costs are somewhat larger,No,7,55-64,Male,White
116,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,55-64,Female,Other
117,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,9,75+,Male,Black
118,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Male,White
119,Northeast,Now married,College's degree,No,No,Working full-time,No response,No,8,55-64,Female,White
120,South,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,1,75+,Female,Other
121,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,10 - Completely satisfied,55-64,Male,Black
122,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,65-74,Male,White
123,South,Never married,College's degree,No,No,Not working,No response,No,6,25-34,Female,White
124,Northeast,Now married,High school graduate,No,No,Not working,No response,No,8,65-74,Female,White
125,Northeast,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,35-44,Female,Black
126,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,1,25-34,Male,White
127,South,Now married,College's degree,No,No,Not working,About the same,Yes,8,55-64,Male,White
128,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,4,55-64,Male,White
129,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Male,Black
130,South,Separated,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,55-64,Male,White
131,Midwest,Now married,High school graduate,No,No,Not working,No response,No,5,65-74,Female,White
132,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,2,65-74,Female,White
133,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,6,65-74,Male,Hispanic
134,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,55-64,Male,White
135,West,Never married,College's degree,No,No,Working full-time,No response,No,9,65-74,Female,White
136,South,Now married,High school graduate,No,No,Working full-time,No response,No,0 - Not at all satisfied,45-54,Male,White
137,Midwest,Divorced,College's degree,No,No,Not working,About the same,No,6,75+,Female,White
138,South,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Male,White
139,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,65-74,Male,White
140,West,Now married,High school graduate,No,No,Not working,No response,No,8,55-64,Female,Hispanic
141,Northeast,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,9,65-74,Male,Black
142,Midwest,Now married,College's degree,No,No,Not working,About the same,No,6,75+,Male,White
143,Midwest,Never married,High school graduate,No,No,Not working,No response,No,10 - Completely satisfied,65-74,Female,White
144,Midwest,Widowed,High school graduate,No,No,Working part-time,No response,No,8,75+,Female,White
145,West,Never married,Bachelor's degree or higher,No,No,Working full-time,No response,No,7,45-54,Male,Other
146,West,Widowed,College's degree,No,No,Not working,About the same,No,9,75+,Male,Black
147,South,Now married,High school graduate,No,No,Not working,No response,No,9,65-74,Male,Hispanic
148,Midwest,Now married,Bachelor's degree or higher,No,Yes,Not working,No response,No response,8,45-54,Female,Hispanic
149,South,Never married,College's degree,No,No,Not working,Financial benefits are somewhat larger,No,8,65-74,Male,White
150,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,35-44,Female,White
151,Northeast,Divorced,High school graduate,No,No,Not working,No response,No,0 - Not at all satisfied,65-74,Female,White
152,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,9,65-74,Male,White
153,South,Never married,High school graduate,No,No,Working part-time,No response,No,8,25-34,Male,White
154,West,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,7,65-74,Female,Other
155,West,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,7,25-34,Male,Hispanic
156,South,Now married,College's degree,No,No,Not working,About the same,No,5,65-74,Female,White
157,Midwest,Now married,High school graduate,No,No,Not working,No response,No,4,55-64,Male,White
158,West,Never married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,9,25-34,Male,White
159,Midwest,Never married,Bachelor's degree or higher,No,Yes,Not working,No response,No response,2,65-74,Female,Other
160,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,7,45-54,Female,White
161,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,6,65-74,Male,White
162,South,Now married,College's degree,No,No,Working part-time,Financial costs are much larger,No,7,65-74,Male,White
163,Midwest,Now married,High school graduate,No,No,Not working,No response,No,6,65-74,Female,White
164,South,Never married,College's degree,No,No,Working full-time,About the same,No,7,55-64,Male,White
165,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,55-64,Female,White
166,Northeast,Now married,High school graduate,No,No,Working full-time,No response,No,7,55-64,Female,White
167,West,Now married,College's degree,No,No,Not working,About the same,No,5,55-64,Female,White
168,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,9,75+,Female,White
169,Northeast,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,55-64,Male,Other
170,Midwest,Now married,College's degree,No,No,Not working,About the same,No,7,65-74,Male,White
171,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,75+,Male,White
172,South,Now married,High school graduate,No,No,Not working,No response,No,4,65-74,Female,White
173,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Male,White
174,South,Now married,College's degree,No,No,Working part-time,Financial costs are somewhat larger,No,7,65-74,Female,White
175,Northeast,Now married,High school graduate,No,No,Working full-time,No response,No,7,35-44,Female,White
176,South,Never married,College's degree,No,No,Working full-time,About the same,No,8,55-64,Female,White
177,Northeast,Divorced,High school graduate,No,No,Working part-time,No response,No,0 - Not at all satisfied,65-74,Female,White
178,West,Divorced,College's degree,No,No,Working full-time,No response,No,3,65-74,Female,White
179,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,7,65-74,Male,Hispanic
180,Midwest,Now married,High school graduate,No,No,Working part-time,Financial costs are somewhat larger,No,6,65-74,Female,White
181,Midwest,Never married,Bachelor's degree or higher,No,Yes,Working part-time,No response,No response,7,25-34,Female,White
182,Midwest,Divorced,High school graduate,No,No,Working full-time,No response,No,6,35-44,Female,White
183,Midwest,Now married,Bachelor's degree or higher,"Yes, as a part-time student",No,Working full-time,No response,No,6,35-44,Male,White
184,South,Widowed,High school graduate,No,No,Not working,No response,No,8,75+,Female,White
185,Midwest,Never married,Bachelor's degree or higher,No,No,Not working,No response,Yes,4,45-54,Female,White
186,South,Now married,College's degree,No,No,Not working,No response,No,8,75+,Female,White
187,South,Now married,High school graduate,No,No,Working full-time,No response,No,9,55-64,Male,White
188,West,Now married,High school graduate,No,No,Working full-time,No response,No,7,55-64,Male,Black
189,Northeast,Now married,College's degree,No,No,Not working,Financial benefits are somewhat larger,No,9,45-54,Female,White
190,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Male,White
191,South,Now married,High school graduate,No,No,Working full-time,About the same,No,5,25-34,Male,White
192,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Male,White
193,West,Now married,College's degree,No,No,Working part-time,About the same,No,6,25-34,Female,White
194,Midwest,Now married,High school graduate,No,No,Not working,No response,No,9,65-74,Female,White
195,West,Widowed,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Male,White
196,Northeast,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,4,65-74,Male,White
197,South,Widowed,College's degree,No,No,Not working,No response,No,6,75+,Female,White
198,West,Now married,College's degree,No,No,Working part-time,No response,No,7,35-44,Female,White
199,South,Now married,Bachelor's degree or higher,No,Yes,Working part-time,No response,No response,7,35-44,Female,White
200,South,Widowed,College's degree,No,No,Not working,About the same,No,6,75+,Male,White
201,West,Now married,Bachelor's degree or higher,"Yes, as a full-time student",No,Not working,No response,No,8,25-34,Male,White
202,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,7,55-64,Female,White
203,Midwest,Never married,High school graduate,No,No,Not working,Financial costs are much larger,Yes,4,55-64,Male,White
204,West,Now married,College's degree,No,No,Not working,No response,No,2,65-74,Male,White
205,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Male,White
206,South,Widowed,High school graduate,No,No,Working full-time,No response,No,8,75+,Female,White
207,West,Now married,College's degree,No,No,Not working,About the same,No,7,65-74,Female,White
208,West,Now married,High school graduate,No,No,Not working,No response,No,9,75+,Female,White
209,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,25-34,Female,White
210,Northeast,Never married,Bachelor's degree or higher,No,No,Not working,No response,Yes,7,65-74,Male,White
211,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,35-44,Female,White
212,South,Now married,High school graduate,No,Yes,Working full-time,No response,No response,8,55-64,Female,White
213,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,35-44,Female,White
214,Midwest,Now married,High school graduate,No,No,Not working,No response,No,8,65-74,Male,White
215,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,7,55-64,Male,White
216,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,9,35-44,Female,White
217,South,Never married,No high school diploma,No,No,Working full-time,No response,No,5,55-64,Female,Black
218,Midwest,Now married,High school graduate,No,No,Working full-time,No response,No,8,45-54,Male,White
219,Midwest,Never married,Bachelor's degree or higher,"Yes, as a part-time student",Yes,Working full-time,No response,No response,7,45-54,Male,White
220,South,Now married,College's degree,No,No,Working part-time,Financial benefits are much larger,No,7,65-74,Female,White
221,South,Now married,High school graduate,No,No,Working full-time,No response,No,3,55-64,Female,White
222,West,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,65-74,Female,White
223,Midwest,Divorced,College's degree,No,No,Not working,Financial costs are much larger,No,7,65-74,Female,White
224,Midwest,Now married,High school graduate,No,No,Working full-time,Financial benefits are much larger,No,7,55-64,Male,White
225,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,3,65-74,Female,White
226,West,Divorced,High school graduate,No,No,Working part-time,About the same,No,7,55-64,Male,White
227,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,55-64,Male,Other
228,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,9,55-64,Female,White
229,South,Divorced,High school graduate,No,No,Not working,No response,No,9,65-74,Male,White
230,South,Widowed,No high school diploma,No,No,Not working,No response,No,5,55-64,Female,White
231,Midwest,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,10 - Completely satisfied,65-74,Female,White
232,West,Now married,College's degree,No,No,Not working,Financial costs are somewhat larger,No,5,65-74,Female,White
233,South,Now married,College's degree,No,No,Working full-time,About the same,Yes,8,45-54,Male,White
234,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,7,55-64,Male,White
235,Northeast,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,75+,Male,White
236,Midwest,Never married,High school graduate,No,No,Not working,No response,No,0 - Not at all satisfied,18-24,Female,White
237,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,55-64,Female,Other
238,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,No,8,75+,Male,White
239,Northeast,Now married,High school graduate,No,No,Not working,Financial costs are much larger,No,9,65-74,Male,White
240,Northeast,Never married,College's degree,"Yes, as a full-time student",No,Not working,Financial benefits are somewhat larger,No,9,18-24,Male,White
241,West,Now married,No high school diploma,No,No,Not working,No response,No,5,55-64,Female,White
242,Midwest,Never married,No high school diploma,No,No,Working full-time,No response,No,4,35-44,Male,White
243,West,Divorced,College's degree,No,No,Working full-time,Financial costs are much larger,No,8,65-74,Female,White
244,West,Now married,College's degree,No,No,Not working,Financial benefits are much larger,No,7,55-64,Male,White
245,Midwest,Now married,College's degree,No,No,Working full-time,Financial costs are much larger,No,7,55-64,Male,White
246,Midwest,Now married,College's degree,No,No,Working full-time,No response,No,0 - Not at all satisfied,55-64,Female,White
247,West,Now married,College's degree,No,No,Working full-time,About the same,No,5,55-64,Male,Black
248,South,Never married,High school graduate,No,Yes,Working full-time,About the same,No response,4,45-54,Female,Black
249,Midwest,Now married,College's degree,No,No,Not working,No response,No,7,45-54,Female,White
250,South,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,8,45-54,Female,White
251,Midwest,Never married,College's degree,No,No,Not working,About the same,No,0 - Not at all satisfied,25-34,Female,White
252,Midwest,Separated,Bachelor's degree or higher,No,No,Working full-time,No response,No,2,45-54,Male,White
253,West,Separated,College's degree,No,No,Working full-time,Financial costs are much larger,No,7,45-54,Female,Hispanic
254,Midwest,Now married,College's degree,No,No,Not working,About the same,No,8,55-64,Female,Black
255,Northeast,Now married,High school graduate,No,No,Working part-time,No response,No,3,55-64,Male,White
256,West,Now married,Bachelor's degree or higher,"Yes, as a part-time student",No,Working full-time,No response,No,7,35-44,Female,Other
257,South,Now married,High school graduate,No,No,Working full-time,No response,No,9,65-74,Male,White
258,South,Now married,High school graduate,No,No,Not working,No response,No,1,65-74,Male,White
259,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,45-54,Female,Other
260,West,Now married,College's degree,No,No,Not working,No response,No,6,75+,Female,White
261,South,Now married,High school graduate,No,No,Working full-time,No response,No,7,55-64,Male,White
262,South,Now married,No high school diploma,No,No,Working full-time,No response,No,4,35-44,Female,White
263,Midwest,Now married,College's degree,No,No,Not working,About the same,Yes,3,65-74,Male,White
264,West,Now married,College's degree,No,No,Not working,Financial benefits are much larger,No,8,75+,Female,White
265,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,8,65-74,Male,White
266,Midwest,Now married,College's degree,No,No,Not working,No response,No,10 - Completely satisfied,65-74,Male,White
267,Midwest,Now married,College's degree,No,No,Working full-time,About the same,No,7,25-34,Male,White
268,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,7,55-64,Female,White
269,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,10 - Completely satisfied,75+,Male,White
270,Midwest,Now married,College's degree,No,No,Not working,No response,No,8,65-74,Male,White
271,West,Divorced,High school graduate,No,No,Working part-time,About the same,Yes,0 - Not at all satisfied,45-54,Male,Black
272,West,Now married,High school graduate,No,No,Working full-time,No response,No,7,35-44,Male,White
273,West,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,75+,Male,White
274,Midwest,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,Yes,8,55-64,Male,White
275,West,Never married,Bachelor's degree or higher,No,No,Not working,No response,Yes,6,65-74,Female,White
276,West,Now married,College's degree,No,No,Working full-time,About the same,No,4,45-54,Male,White
277,West,Never married,College's degree,"Yes, as a full-time student",No,Not working,Financial benefits are much larger,No,5,18-24,Male,White
278,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,5,65-74,Female,White
279,South,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,10 - Completely satisfied,45-54,Female,Black
280,South,Now married,College's degree,No,No,Not working,About the same,No,8,45-54,Female,White
281,Midwest,Now married,College's degree,No,No,Not working,About the same,No,7,65-74,Female,White
282,Midwest,Now married,College's degree,No,No,Not working,Financial benefits are much larger,No,8,55-64,Male,White
283,Northeast,Divorced,No high school diploma,No,No,Not working,No response,No,5,55-64,Female,White
284,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,7,45-54,Female,Other
285,Northeast,Never married,No high school diploma,No,Yes,Working full-time,No response,No response,9,55-64,Female,White
286,West,Divorced,High school graduate,No,No,Working full-time,No response,No,7,55-64,Female,White
287,South,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,No,8,65-74,Male,White
288,Midwest,Now married,College's degree,No,No,Working full-time,Financial costs are much larger,No,1,45-54,Female,White
289,West,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,5,35-44,Male,White
290,Northeast,Now married,College's degree,No,No,Not working,About the same,No,3,65-74,Female,Black
291,Midwest,Divorced,Bachelor's degree or higher,No,No,Working full-time,No response,No,9,55-64,Male,White
292,Midwest,Now married,Bachelor's degree or higher,No,No,Working part-time,No response,Yes,7,55-64,Female,White
293,South,Now married,Bachelor's degree or higher,No,No,Not working,No response,Yes,7,55-64,Female,White
294,West,Now married,Bachelor's degree or higher,No,No,Working full-time,No response,No,6,45-54,Male,White
295,Northeast,Now married,College's degree,No,No,Working full-time,Financial benefits are much larger,No,5,55-64,Male,White
296,West,Now married,Bachelor's degree or higher,No,Yes,Working full-time,No response,No response,8,45-54,Male,White
297,Midwest,Now married,College's degree,No,No,Working full-time,Financial costs are much larger,No,8,35-44,Male,White
298,South,Never married,College's degree,No,No,Working full-time,About the same,No,7,25-34,Male,White
299,South,Widowed,High school graduate,No,No,Not working,No response,No,3,65-74,Female,White
300,South,Widowed,High school graduate,No,No,Working full-time,No response,No,1,55-64,Female,White
301,South,Divorced,College's degree,No,No,Working part-time,About the same,No,5,35-44,Female,White
